144 , 52
144 , 51
144 , 52
144 , 51
143 , 51
143 , 51
142 , 51
141 , 51
141 , 51
141 , 52
140 , 51
140 , 52
141 , 52
142 , 52
148 , 56
158 , 54
166 , 53
175 , 53
180 , 53
189 , 53
194 , 53
195 , 53
197 , 53
199 , 53
203 , 53
204 , 57
211 , 58
213 , 56
220 , 55
225 , 56
228 , 55
234 , 55
242 , 55
245 , 55
250 , 55
254 , 55
258 , 55
262 , 57
276 , 58
280 , 58
284 , 58
285 , 59
286 , 59
286 , 60
284 , 61
283 , 63
282 , 64
278 , 67
275 , 68
271 , 70
268 , 72
266 , 73
262 , 75
259 , 77
256 , 78
250 , 81
248 , 82
244 , 83
237 , 86
234 , 87
230 , 90
224 , 93
218 , 95
214 , 98
213 , 99
206 , 101
202 , 103
199 , 105
194 , 109
192 , 110
182 , 116
179 , 119
176 , 121
174 , 121
173 , 121
172 , 121
166 , 123
165 , 124
163 , 125
163 , 125
162 , 125
160 , 125
159 , 125
156 , 125
155 , 124
153 , 124
154 , 123
154 , 122
155 , 122
155 , 122
156 , 122
156 , 122
155 , 122
154 , 122
152 , 122
151 , 123
